,start_station,start_date
0,10th & e st nw,7/12/2012 13:04
1,10th & florida ave nw,10/9/2013 8:55
2,10th & g st nw,10/1/2016 8:41
3,10th & k st nw,7/1/2015 6:32
4,10th & monroe st ne,10/16/2010 13:55
5,10th & u st nw,9/20/2010 12:16
6,10th st & constitution ave nw,10/7/2010 15:42
7,10th st & l'enfant plaza sw,5/19/2016 12:08
8,11th & f st nw,2/4/2013 11:24
9,11th & girard st nw,6/8/2017 4:32
10,11th & h st ne,12/12/2011 12:02
12,11th & kenyon st nw,10/8/2010 14:02
13,11th & m st nw,4/3/2013 9:55
14,11th & o st nw,5/19/2016 14:06
15,11th & s st nw,4/8/2015 14:23
16,12th & army navy dr,9/21/2010 9:37
19,12th & irving st ne,5/30/2013 11:53
20,12th & l st nw,6/25/2012 16:55
21,12th & newton st ne,10/7/2010 18:35
22,12th & u st nw,8/1/2014 0:11
23,12th st & pennsylvania ave se,12/15/2016 14:06
24,13th & d st ne,10/27/2010 18:30
25,13th & h st ne,10/9/2010 14:51
27,13th st & eastern ave,9/27/2013 14:52
28,13th st & new york ave nw,10/18/2010 14:08
29,14th & belmont st nw,10/2/2013 9:10
30,14th & d st nw / ronald reagan building,4/20/2011 10:17
31,14th & d st se,9/22/2010 15:45
32,14th & g st nw,11/8/2010 16:29
33,14th & girard st nw,5/5/2016 12:30
34,14th & harvard st nw,9/20/2010 12:30
35,14th & irving st nw,8/2/2016 13:21
36,14th & l st nw,4/5/2016 9:17
37,14th & r st nw,9/17/2010 12:24
38,14th & rhode island ave nw,9/20/2010 17:46
39,14th & upshur st nw,4/12/2013 17:36
40,14th & v st nw,9/17/2010 11:00
41,14th st & colorado ave nw,4/12/2013 16:37
42,14th st & new york ave nw,10/1/2014 8:35
43,14th st & spring rd nw,9/20/2010 19:14
44,14th st heights / 14th & crittenden st nw,9/26/2010 21:42
45,15th & crystal dr,9/20/2010 16:23
46,15th & east capitol st ne,5/14/2013 13:09
47,15th & euclid st  nw,5/6/2013 12:44
48,15th & f st ne,5/30/2013 12:13
50,15th & k st nw,7/2/2012 11:09
51,15th & l st nw,10/7/2014 13:37
52,15th & m st nw,6/1/2017 1:25
53,15th & n scott st,4/25/2012 19:52
54,15th & p st nw,9/20/2010 13:13
