Neighborhood,3 months before,6 months before,12 months before,3 months after,6 months after,12 months after
Adams Morgan,0.8269451125599625,1.1317653896054196,2.4154530253445743,0.2699372221596221,0.8726176887486062,3.2456295065517513
Anacostia,0.585326171864478,-0.48816687587206253,-0.7933284129660665,0.14178285734031348,0.34541560601965915,0.3469080430589098
Barney Circle,0.9743135518157661,2.4357838795394153,6.155890168290522,0.55666889334224,1.5059563946954373,0.7361142092348874
Benning,-3.1736526946107784,-2.5149700598802394,3.8922155688622757,-2.1675454012888107,-4.951622083096187,-9.875876956287103
Berkley,1.700787401574803,0.6551181102362205,3.6157480314960635,2.7973839279932657,1.7693441887300467,5.720564730953649
Bloomingdale,2.711323763955343,6.926406926406926,12.96422875370244,-0.13651877133105803,1.6913809082483782,1.1756569847856155
Brightwood Park,2.8351530825542177,5.476429884512548,10.507020330669386,1.9269395731461698,4.5471276312424385,7.111569671603141
Brookland,1.8605914499027842,3.5140061090563246,7.1682256411452965,2.7795620874673923,6.901915426406649,13.985413220594936
Buena Vista,3.9934354485776806,8.150984682713348,9.956236323851202,1.0503040353786623,-0.544069640914037,5.178365937859609
Burleith,-0.7546220601182241,-0.7797761287888316,-2.200981008678154,-0.08796179944709727,-0.07540530350634661,1.4675855028075548
Capitol Hill,0.4932137957579769,0.9271834843933049,3.3478825219506967,0.6275144994136949,1.6255677758458382,5.722218600017842
Catholic University,3.7552742616033754,7.257383966244725,13.080168776371309,1.7604121940747102,4.681978798586572,5.053191489361701
Cleveland Park,0.2758796237330171,0.7286926594249525,1.7476031878098364,-0.6220581091761047,1.403234973439421,4.079751696056448
Colonial Village,1.4925232209378319,2.5767103026743863,5.071480600916539,0.9059662218887836,2.4762902171814414,3.897388822664843
Columbia Heights,1.5251621181715624,0.8294591493819767,1.4862268510543903,-0.26460648954224353,1.0088490371257501,6.28256326229668
Congress Heights,1.5361101124551089,1.5195743019394543,9.852540387581616,2.03439789118456,3.0192416525183927,8.4658634045139
Downtown,0.9575911914130575,3.510175148403729,6.18356203477255,0.9959807617743877,2.4694534560746026,6.490334603893162
Dupont Circle,0.252951407707018,0.8906002027233237,2.1002675235727013,0.4837836324918173,0.9841264626169819,2.625646244047862
Dupont Park,2.9515566880118285,5.295339213776004,11.033788922093754,1.0850619747708963,2.244221379894745,5.314799200184981
Eckington,2.589366253447076,2.848074147573516,7.049480039174247,2.250699395665249,3.731005738190232,11.100815479579136
Foggy Bottom,0.06435940805615231,0.3368685779526672,2.7008599556968034,0.521262895290723,0.2934409096826533,2.047517921978525
Friendship Heights,0.2033377292354138,1.0319484688535103,4.652788625066347,0.7448286429551637,1.3210558391428517,4.323708329480788
Georgetown,0.925950268866599,1.2373179265294405,1.5619136254702812,0.6944109615663915,1.794990482927442,3.680218832101009
Glover Park,0.18887362637362637,1.098901098901099,3.021978021978022,1.1111111111111112,0.24096385542168677,-0.5124701059104886
Greenway,0.4794832956776287,0.7335634176549695,-0.3476194887596389,-0.26770081666415946,-0.014180971580626034,-0.02251654540415915
Hillbrook,1.815352697095436,4.616182572614108,14.626556016597512,4.159913560237709,9.670079635949943,15.173237753882916
Judiciary Square,2.412397200172186,3.970413504656346,5.38793749504564,0.8257896268871203,1.993857711615619,3.2459086446109047
Kingman Park,3.4210824332052012,5.4988681533168915,8.496740021530886,1.7913832901236078,4.784172561006043,10.534742504697972
Ledroit Park,2.580918129892109,10.979479585360693,23.75713983499048,0.48894557823129253,2.095032397408207,10.237873134328359
Logan Circle,1.8398024346787067,2.635497299441345,4.775836712001031,0.5346851239620719,1.796811412654776,4.011083292908522
Mahaning Heights,-0.9115281501340482,-3.0026809651474533,-10.455764075067025,-1.479133650290544,-3.167185877466251,-2.661795407098121
McLean Gardens,-0.10217113665389528,-0.10217113665389528,-1.6091954022988506,1.3461040641988091,3.32541567695962,4.122340425531915
Mount Pleasant,-0.008028770338375363,-0.07162985812182904,1.7063737951904643,-1.502064167475143,,
Mount Vernon Square,3.256794751640112,5.810684161199625,9.067478912839738,1.2814428096820123,4.19921875,7.155410494602059
Navy Yard,1.038500529999267,1.5850818643199118,3.6789250578554813,3.965395986505272,5.376018158374455,8.578363911159778
Near Northeast,-0.12085363169546522,-0.1734739226688176,2.978442198621837,1.5408140625881952,6.456343798922033,10.850775225879136
NoMa,,,,,,
North Cleveland Park,1.0400059537908908,3.2826719075150246,6.538765024379202,0.5937220056916813,1.2128784867225875,3.7798243221937278
Park View,2.6684847455208085,4.341749883007374,9.032400458088029,2.3807871610358724,5.850516205517681,7.201235658502806
Penn Quarter,1.1925813873734075,2.089986785553919,3.143008062495066,0.31799947904115183,1.204324540442777,0.11611189380539391
Petworth,3.9480422738488756,7.7983939915943274,16.75830832652612,0.7093398379101423,1.1643947567455837,3.40963878152627
Randle Highlands,1.3272077590607452,3.9816232771822357,8.831036242981114,0.255885363357216,4.87152034261242,11.243611584327088
River Terrace,1.2146134324144002,4.335957097524021,8.723406938489692,-0.34484253177627416,-2.9993577674942378,-6.62211044760024
Shaw,2.4621409183608787,2.748673533820187,4.7467877578826725,1.2670229088189549,2.508813552031547,4.874669946933998
Shepherd Park,3.0205818002214193,5.464883841307822,7.2606029889039645,3.2586564996893124,6.442050874705174,11.659024991349565
Sixteenth Street Heights,1.5243512791278053,3.413903128434709,8.881149500069201,0.5199514980464489,2.041844569718841,7.81102896250106
Southwest Waterfront,0.15571632328979967,1.4299786073372809,4.70256433686318,0.9353016245987631,3.235723162732456,7.719212270368665
Stronghold,4.367503960171985,3.960171984611903,10.749038243946595,,,
Takoma,1.7783921456060865,3.95437661062149,9.062106687404638,2.651796413714022,5.989444256272453,10.86035713396472
Trinidad,4.74521293108314,7.466098944516567,7.841826823578108,3.3887545912862373,12.299465240641712,24.907063197026023
Truxton Circle,-1.172362185083562,-4.664504864055874,-4.6395609877775,0.3253253253253253,5.555555555555555,7.049399198931909
U Street Corridor,1.6216383025541117,3.012727624015843,3.455551262028584,3.1741684648004953,5.53088484686412,7.932225006608607
Wakefield,2.3667930568983335,7.3087414227952126,12.584574709452642,0.7680796217620295,-0.3443339480402914,-3.514787978627782
Wesley Heights,-0.2380007933359778,-1.0511701705672352,-1.705672352241174,1.7763423496164714,8.710651142733937,11.994669035984007
Woodley Park,1.095890410958904,0.4512489927477841,0.8058017727639,0.16142050040355124,2.7487994701109457,2.207214626914841
