start_station,start_date,Latitude,Longitude,Neighborhood,3 months before,3 months after,6 months before,6 months after
10th+&+e+st+nw,7/12/2012 13:04,38.65686,-87.1879,Potomac Heights,,,,
10th+&+florida+ave+nw,10/9/2013 8:55,38.92052,-77.02599,U Street Corridor,,,,
10th+&+monroe+st+ne,10/16/2010 13:55,38.93237,-76.9958599,Stronghold,,,,
10th+st+&+constitution+ave+nw,10/7/2010 15:42,38.89208,-77.02603,Penn Quarter,,,,
10th+st+&+l'enfant+plaza+sw,5/19/2016 12:08,38.88358,-77.02485,Southwest Federal Center,,,,
11th+&+girard+st+nw,6/8/2017 4:32,38.92595,-77.02493,Columbia Heights,,,,
11th+&+kenyon+st+nw,10/8/2010 14:02,38.92994,-77.02298,Park View,,,,
11th+&+s+st+nw,4/8/2015 14:23,38.9141,-77.02703,Shaw,,,,
12th+&+irving+st+ne,5/30/2013 11:53,38.93152,-77.00435,Catholic University,,,,
12th+&+l+st+nw,6/25/2012 16:55,38.88866,-77.02795,National Mall - West Potomac Park,,,,
12th+&+newton+st+ne,10/7/2010 18:35,38.93368,-76.9879799,Brookland,,,,
12th+st+&+pennsylvania+ave+se,12/15/2016 14:06,38.88214,-76.99024,Navy Yard,,,,
13th+&+d+st+ne,10/27/2010 18:30,38.88979,-76.98829,Capitol Hill,,,,
13th+&+h+st+ne,10/9/2010 14:51,38.90018,-76.988,Near Northeast,,,,
13th+st+&+eastern+ave,9/27/2013 14:52,38.98693,-77.02964,Shepherd Park,,,,
13th+st+&+new+york+ave+nw,10/18/2010 14:08,38.90016,-77.02963,Downtown,,,,
14th+&+d+st+nw+/+ronald+reagan+building,4/20/2011 10:17,38.89478,-77.01284,Swampoodle,,,,
14th+&+d+st+se,9/22/2010 15:45,38.88981,-76.9855,Kingman Park,,,,
14th+&+rhode+island+ave+nw,9/20/2010 17:46,38.90883,-77.03195,Logan Circle,,,,
14th+&+upshur+st+nw,4/12/2013 17:36,38.94189,-77.02488,Petworth,,,,
14th+st+&+colorado+ave+nw,4/12/2013 16:37,38.95576,-77.03343,Sixteenth Street Heights,,,,
15th+st+&+massachusetts+ave+se,12/22/2011 9:16,38.88706,-76.98363,Barney Circle,,,,
16th+&+k+st+nw,8/9/2016 10:17,38.99208,-77.03618,Colonial Village,,,,
17th+&+corcoran+st+nw,9/24/2010 10:37,38.91187,-77.03899,Dupont Circle,,,,
18th+&+c+st+nw,4/19/2016 9:17,38.89353,-77.04147,Foggy Bottom,,,,
18th+&+eads+st.,4/1/2013 16:36,38.89544,-76.95614,River Terrace,,,,
18th+&+m+st+nw,10/7/2010 19:02,38.90516,-77.06366,Georgetown,,,,
18th+st+&+wyoming+ave+nw,5/1/2013 7:20,38.91874,-77.04168,Adams Morgan,,,,
19th+&+g+st+nw,2/4/2015 10:34,38.89833,-77.01729,Judiciary Square,,,,
19th+&+savannah+st+se,9/30/2017 4:55,38.84695,-76.97389,Shipley Terrace,,,,
1st+&+rhode+island+ave+nw,12/6/2011 9:11,38.91567,-77.01216,Bloomingdale,,,,
1st+&+washington+hospital+center+nw,2/14/2012 12:58,40.73743,-74.03089,Burrville,,,,
21st+st+n+&+n+pierce+st,11/26/2014 6:34,35.55194,-77.05757,Blue Plains Treatment Plant,,,,
22nd+&+h+st+nw,7/13/2017 4:06,38.89981,-77.02107,Chinatown,,,,
24th+&+r+st+ne+/+national+arboretum,10/1/2016 3:52,38.91259,-76.97395,Arboretum,,,,
25th+st+&+pennsylvania+ave+nw,10/29/2010 16:36,38.90364,-77.0533,West End,,,,
28th+st+s+&+s+meade+st,3/28/2013 10:44,38.86854,-76.96673,Randle Highlands,,,,
2nd+st+&+seaton+pl+ne,6/1/2017 4:30,38.9148,-77.00348,Eckington,,,,
3000+connecticut+ave+nw+/+national+zoo,12/21/2011 19:03,38.9299,-77.05557,Woodley Park,,,,
31st+&+woodrow+st+s,12/17/2013 9:54,41.61247,-73.30576,Takoma,,,,
34th+st+&+wisconsin+ave+nw,10/15/2010 14:16,38.91576,-77.06779,Burleith,,,,
39th+&+calvert+st+nw+/+stoddert,2/10/2012 13:16,38.92255,-77.07791,Glover Park,,,,
39th+&+veazey+st+nw,2/11/2013 16:57,38.94397,-77.0711,North Cleveland Park,,,,
3rd+&+underwood+st+nw,3/8/2017 13:03,38.96897,-77.03187,Brightwood,,,,
3rd+st+&+riggs+rd+ne,12/24/2016 17:27,38.95692,-77.0024,Riggs Park,,,,
4th+&+kennedy+st+nw,10/1/2016 9:17,38.95628,-77.02542,Brightwood Park,,,,
4th+st+&+mississippi+ave+se,9/21/2017 1:11,38.83611,-77.00106,Congress Heights,,,,
5th+st+&+massachusetts+ave+nw,5/6/2013 10:25,38.90112,-77.01893,Mount Vernon Square,,,,
61st+st+&+banks+pl+ne,10/9/2016 12:26,38.89194,-76.91365,East Corner,,,,
6th+&+k+st+ne,12/21/2016 18:39,38.9025,-77.00084,NoMa,,,,
6th+&+water+st+sw+/+sw+waterfront,1/1/2014 9:33,38.87492,-77.0207,Southwest Waterfront,,,,
anacostia+library,10/24/2010 16:59,38.83269,-77.01396,Anacostia Naval Station - Boiling Air Force Base,,,,
army+navy+dr+&+s+nash+st,4/8/2015 12:28,38.87178,-76.95076,Dupont Park,,,,
benning+rd+&+east+capitol+st+ne+/+benning+rd+metro,12/22/2011 13:32,38.88984,-76.94513,Benning,,,,
bladensburg+rd+&+benning+rd+ne,10/29/2010 6:54,38.90015,-76.98336,Trinidad,,,,
clarendon+metro+/+wilson+blvd+&+n+highland+st,1/1/2012 11:06,41.19449,-78.89443,Hawthorne,,,,
connecticut+&+nebraska+ave+nw,5/1/2013 6:32,38.95603,-77.07041,Wakefield,,,,
connecticut+ave+&+newark+st+nw+/+cleveland+park,10/10/2010 11:08,38.93407,-77.05765,Cleveland Park,,,,
division+ave+&+foote+st+ne,8/23/2016 12:01,38.89712,-76.9261,Lincoln Heights,,,,
fairfax+dr+&+kenmore+st,4/2/2013 9:52,38.9126,-77.08665,Colony Hill,,,,
