RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,243,148200,149700,151200,152900,154700,156700,160100,164300,168300,170700,173100,176600,180900,186100,192900,199900,206900,214000,219500,223700,228300,233700,240500,247500,252400,256000,260400,265300,269000,272500,276200,279200,281700,284400,287600,291400,296200,300900,306000,312100,320500,330500,340400,351200,361700,369800,375800,381800,387100,391100,393600,393900,394700,398300,402600,403900,404500,407400,411300,413500,414600,416300,417800,417700,416300,414100,413000,414300,416700,417800,416300,412000,408300,408200,410300,413100,415500,417400,419400,421900,424400,426100,427400,426100,423400,421600,419700,415300,410600,406600,402300,397000,391000,386300,382700,381700,381800,381100,379400,379200,379500,379400,379100,379700,381300,382700,381800,386900,397800,404300,405000,408700,411900,411000,408100,406700,405400,404800,408800,410500,405600,399800,399600,399700,397000,394400,396100,398700,400700,401200,401300,401700,404000,407800,411600,414900,419100,424100,428300,432100,436100,440400,444100,446800,449200,451200,452500,453800,457800,463800,469100,472600,476800,481600,486600,490400,492500,494800,499500,504100,508400,513000,516700,519900,522700,525400,527700,528700,528200,530300,535100,541300,548500,555600,559600,560900,562200,564600,566500,567600,569100,570400,570200,571400,575300,579000,581400,584800,587600,589000,590700,591600,593900,600000,603300,597600,589700,585700,585400,583700,582300,582500
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,312,210100,214300,218500,222500,229100,237800,245400,251000,255800,260300,265100,269600,272900,275500,279600,285600,293200,300500,304900,308000,312000,316400,322300,330600,337700,342600,346400,349700,353500,357800,362000,366800,373700,380600,385700,390100,397100,405700,413600,420300,426200,433100,441400,450000,457800,464600,470900,477400,483100,488200,494100,501200,508000,514300,520800,526600,531200,535400,539700,541300,540400,540600,541500,540300,539000,537400,535800,534300,534000,535400,537500,539100,540900,543400,545100,545600,544900,544500,544800,545000,544200,543700,542700,539600,536400,533000,529600,527600,527600,528100,527600,526200,525800,526000,524800,520400,515200,512600,511700,509200,506800,505800,505400,505300,505600,506300,505000,512600,526700,535100,536900,541400,542800,541600,541800,541800,538800,533500,533400,533700,528900,523400,523800,524900,525100,525300,526900,528000,529400,530800,533100,534300,535600,539600,544800,548700,553100,556200,557700,563200,571400,578000,583100,588400,593000,596300,597600,599800,605600,613000,617100,618800,624100,631800,637200,638100,638400,639000,641900,646700,652000,656200,660300,665200,669400,671900,672200,672100,673200,677100,681600,687200,693700,700300,706400,711500,714400,717200,720400,721500,718700,717400,720400,725100,729700,734400,735600,735300,736700,738800,739900,743300,753500,763700,765300,758800,750500,746100,748000,749300,745500,741400
121774,Petworth,Washington,DC,Washington,District of Columbia,490,128200,129300,130800,132600,135200,138300,141300,144500,147400,149500,151600,153400,155100,157100,159500,162000,165500,169700,173200,175600,178100,180800,184500,189100,192700,196800,202200,207400,210700,212300,213300,215100,217300,219900,222500,226100,231400,237800,243100,248100,254100,260800,267300,273400,280000,285800,292300,299400,305400,309800,315100,320600,326600,334200,341700,347300,353100,360500,367600,372100,374300,375200,375600,376000,376800,377000,377800,379600,381000,382400,384100,385300,387000,390000,392700,393400,392100,390900,390100,389100,387300,384600,379700,372400,366100,362800,360600,358200,356000,353900,350900,346900,342400,338100,335200,331700,326600,322200,319400,315900,311800,308100,305000,303000,301400,299900,296900,298600,304100,306200,304100,305800,309600,311700,312600,314300,317500,321700,328000,332300,332500,330400,329700,327800,323700,319100,315800,313000,312400,311900,310500,310200,313100,317100,320100,322200,324500,328800,335500,342100,345800,347800,351300,355200,358000,359400,361400,365600,372100,378100,382800,387700,393800,400700,407500,412600,416400,421600,428300,435100,441400,448100,454300,459500,463300,465200,466300,466400,466500,470500,479200,489800,500900,510900,516900,519500,520900,523000,525500,527700,530900,534800,535900,532800,530400,532800,538500,545600,551000,554400,557300,559400,561200,564500,565900,563700,560500,555200,549400,544700,542400,541200
121668,Adams Morgan,Washington,DC,Washington,District of Columbia,606,228700,231900,233800,236800,242000,248100,253700,258700,263800,269700,275900,280400,284000,288100,293600,299700,308000,316300,322200,325800,329600,332200,335300,339300,341400,343400,347500,351500,352800,352700,353000,355900,361400,367800,373200,377500,382900,389300,395300,401000,408000,416700,426200,435700,444400,450200,452400,453600,456100,457700,457300,455200,454200,457400,462500,464300,464800,469300,477000,483900,487600,489000,488100,485800,484100,480700,477300,475300,473800,471100,467200,463000,460700,461200,464000,467700,470200,471000,471100,471400,472000,472600,472700,471100,469400,469200,467900,465600,463500,462500,461400,460400,459000,456900,454600,452500,450600,448400,446100,443900,441700,439600,438000,437500,436400,435500,435700,439700,445000,448200,450500,454300,457000,455400,452200,449500,447500,445500,446300,446400,442500,438000,438300,440000,439700,439500,441500,442600,443200,443500,444500,447800,451900,454800,456800,458200,460300,462500,463600,465400,468800,472300,473600,473000,473300,475100,476300,477400,480300,485200,490900,496700,503000,508400,511300,512500,513400,514600,516300,516600,516000,517200,519200,520800,521900,523400,524700,526000,526900,527400,527500,528800,533300,539400,544200,546400,546300,545700,545500,544700,543400,544300,546300,548300,550400,550900,549100,548200,550800,554500,556900,558200,562900,568800,570100,568000,566700,566000,565500,564700,562800,561400
121806,Washington Highlands,Washington,DC,Washington,District of Columbia,620,94400,94200,95200,95400,95700,97400,98700,97500,96400,97400,98500,99100,100200,100900,100700,100800,101900,102700,102800,103700,104200,103800,104100,106800,109800,112200,113800,115400,116600,117100,117700,118900,120800,121900,121400,120200,120200,121600,123700,126800,130600,134200,137000,140100,143500,147300,151200,154100,155300,155900,157100,159300,163700,170900,178900,184700,188200,191200,195700,200900,205300,209300,213800,216200,216400,216900,218900,222400,225600,229500,233700,236600,237900,240000,241900,243500,245300,246100,246000,245900,245200,242700,239600,235400,230300,225700,222800,219800,215300,211300,209700,209400,211000,212500,210900,208500,208400,209400,209000,207700,206500,203000,196400,190100,185700,182300,179700,181800,186700,187200,184000,184100,185600,185600,184600,182800,181600,181900,182200,180100,177200,176100,175600,173300,171200,170300,169600,168800,167000,163700,161400,160200,159700,161000,164200,167900,171500,175400,179000,181700,182900,183200,183700,184500,183500,180600,178400,176900,176000,176100,176800,177500,178600,179200,179300,179300,179600,180700,182200,183300,183900,184600,187500,193100,201100,210700,220500,227200,231300,235100,237400,236500,234200,233000,232200,229700,226300,225900,227300,227800,227700,229200,233000,237400,241800,245700,247500,247200,247200,248700,251300,254100,256500,257500,257600,258800,259200,258800,260500,265400,267600,267600
121754,Logan Circle,Washington,DC,Washington,District of Columbia,629,186000,189100,189300,190400,194100,198600,203000,207300,212900,218900,225800,230400,233700,238300,245700,253800,263100,271200,276900,281300,286400,292300,299000,303000,305100,309200,313800,317200,321300,326400,329800,335200,340400,343100,346200,351800,357000,361800,367100,372500,378500,385500,394300,402500,408900,412200,414100,416300,418100,419300,421400,423600,425700,429000,433400,437300,440700,446000,452600,457100,458800,459900,459100,456100,452200,448800,445400,442300,439000,437000,436500,438100,441000,444600,448000,451500,454700,456500,457500,458600,459400,458300,455800,451600,448000,445000,442300,439400,436800,434900,433500,431900,431200,431700,430800,427900,425300,424100,422900,420900,418100,416100,415500,415700,415700,416100,416000,419300,425200,429400,431400,434900,438800,439900,440100,440200,439800,439200,442600,444600,441700,437400,437900,441200,443100,443500,443500,443500,444800,445400,445600,447700,450800,453600,456200,457000,456800,458400,461900,465500,467500,468900,470200,473100,476900,479800,481300,482400,485800,490900,495100,499300,505700,510500,512900,514100,515500,517000,518000,519400,521000,522000,521100,520200,519500,519300,519200,519300,518500,518900,520500,524400,528500,532200,534400,536400,537900,540700,542100,541100,538800,539100,541300,543400,545300,548000,549600,552100,555900,558400,559700,560300,564800,570800,573100,568400,563200,560600,560800,557500,552400,548500
121704,Dupont Circle,Washington,DC,Washington,District of Columbia,710,152300,153400,155000,157500,162300,167400,171200,174800,179500,183700,187000,189900,193000,196000,200000,204600,210500,216600,221200,224900,229600,234300,238800,243900,248300,252500,255900,258000,260500,263900,266500,268900,272900,277800,281800,284700,288600,294200,299900,304600,308400,312800,317700,322500,327300,331600,335400,339800,344800,349800,354000,357500,361700,365600,368100,369400,369300,368800,369800,370700,370600,369400,367300,364900,363200,361300,358800,356500,355000,354400,353300,351800,350800,350900,351300,351100,350500,351400,353000,354200,354900,356200,356800,356200,355500,354300,352700,351700,351300,349500,348300,347600,346200,344100,342800,341200,339000,337400,337300,336900,335700,335200,335900,337000,337300,338100,338800,341400,344800,346800,347400,349200,350900,351100,351400,353000,353600,352000,352200,352400,350000,348100,349400,350600,349700,348100,346200,344100,343700,343900,343600,344200,346200,347800,348900,350900,353800,355500,356300,357400,359400,362400,365100,367400,369700,372400,374600,376100,378300,380700,382300,384000,388100,392600,394200,393100,392400,392500,392500,393000,394200,395400,396000,396600,396700,396000,395500,395900,395800,394400,393400,394900,397400,399900,402400,404400,404500,403800,403400,403300,401900,400700,400200,399700,399400,400000,400000,399900,400700,401400,401800,403600,409700,417200,419400,414200,408500,407000,407600,405100,401200,399200
403481,Sixteenth Street Heights,Washington,DC,Washington,District of Columbia,744,172000,172800,173800,174500,177000,182900,190300,196400,200600,203500,208100,213900,219200,223100,227500,232000,237700,243300,247700,250700,254900,260200,265400,269700,273300,277700,283000,288800,294000,298300,302300,307700,314700,322100,329400,336500,343400,350300,356700,362200,368000,375000,382500,391600,402100,412200,420300,428200,436300,443500,449000,453600,456200,458400,459200,457700,455500,455700,456400,456200,457000,458500,459000,458900,461400,464600,468400,472500,476500,479400,481800,480700,479200,481900,487500,491500,493800,493700,492500,491800,490700,488300,485500,481200,476400,474400,472300,466500,460900,457900,455100,452000,450300,448800,446300,443500,441300,438400,434800,431900,430000,428500,427300,425100,422300,420000,416000,422600,437200,445200,446200,451100,454600,456400,459100,461900,463700,464700,468100,468000,461200,455300,456800,458200,455700,452800,453800,456700,457700,456100,456300,458800,462700,466100,467900,472500,480900,487500,490000,491800,494500,499200,504400,506500,504800,502500,502700,504700,508700,511900,513900,516800,524200,534300,542100,545500,550300,558800,568100,575200,579400,584100,592300,602000,607900,611500,615300,616600,613800,615200,624000,637200,651000,661900,666900,671100,676800,683000,689300,693500,694600,694800,695000,694000,697700,705500,710400,711400,713100,715400,718300,722400,730100,736100,731500,716300,701700,692800,687600,681900,677200,674200
121729,Georgetown,Washington,DC,Washington,District of Columbia,833,520700,523800,527400,533100,543600,554000,561500,568600,577200,585800,594500,603000,611500,617000,620100,625100,635600,649500,660600,669500,678400,682300,686300,695000,704300,711300,715200,714500,713200,712400,714200,719100,723000,726200,732700,741100,748700,755700,764300,773700,783300,791900,795400,796900,807600,823700,834500,839500,843500,846000,850600,859500,869600,878100,884600,885900,884600,888600,896900,901100,900100,901400,903800,906500,910000,914900,920000,927800,934200,936900,936500,940400,949500,955300,948000,930900,915700,909100,908500,909800,908500,902300,891300,883400,881300,883500,889400,900600,905900,900600,895800,894200,893600,892500,888200,879800,876000,875900,873200,868100,865400,865400,864300,862500,861900,863400,870800,871400,862900,856500,860200,863900,870800,875800,877400,875300,875900,878600,886200,892800,890800,880700,880400,883900,879900,870700,866000,866700,866600,861000,855700,861700,870600,875300,874400,877700,884800,894700,900100,903500,904100,901000,894800,900800,915600,925100,929200,935900,941000,943100,946200,953400,968600,978700,979700,980200,985900,990300,994500,997900,1001400,1006000,1012100,1014900,1011300,1004000,1004200,1014100,1024100,1028600,1032700,1040100,1050300,1063900,1081100,1095600,1105500,1139400,1166300,1149500,1117700,1115300,1115200,1112100,1115400,1122400,1117100,1108200,1110900,1120200,1131000,1138700,1155600,1175800,1181200,1162900,1140800,1130200,1132900,1132500,1120700,1109300
121716,Foggy Bottom,Washington,DC,Washington,District of Columbia,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312300,311800,311400,313900,320400,322300,314300,307100,305500,306400,308100,309500,310500,311300,310800,309500,307800,307900,310900,313300,314700,316600,317700,317600,319100,321700,324500,325600,324000,322600,322500,321000,320100,320900,322700,325800,329700,333700,338700,343400,346200,348300,349000,348700,348200,345800,341800,339400,339700,339600,337700,333100,330300,330300,330200,329300,328500,332900,340500,346500,351300,356800,358100,356400,357500,360500,360500,356400,354000,356400,357700,355600,357800,364500,369900,372400,371700,370400,372600,377300,380100,378300,373000,371200,356100,333500,323300,326700,327500
